Resource,Column 8,Path,Min,Max,Max,Description,Available / Missing in KNHTS,Notes,Update Concept ID,Valueset URL,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19
Claim,,Claim.insurance.coverage,1,1,Reference (itm Coverage) profile,Reference to the insurance card level information contained in the Coverage resource. The coverage issuing insurer will use these details to locate the patient's actual coverage within the insurer's information system.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.insurance.preAuthRef,0,*,string,Reference numbers previously provided by the insurer to the provider to be quoted on subsequent claims containing services or products related to the prior authorization.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.insurance.claimResponse,0,1,Reference,The result of the adjudication of the line items for the Coverage specified in this insurance.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.accident,0,1,BackboneElement,Details of an accident which resulted in injuries which required the products and services listed in the claim.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.accident.date,1,1,date,Date of an accident event  related to the products and services contained in the claim.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.accident.type,1,1,CodeableConcept,The type or context of the accident event for the purposes of selection of potential insurance coverages and determination of coordination between insurers.,Missing,,No,http://terminology.hl7.org/ValueSet/v3-ActIncidentCode,,,,,,,,,,,,,,,,,,
Claim,,Claim.accident.locationAddress,0,1,Address,The physical location of the accident event.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item,1,*,BackboneElement,A claim line. Either a simple  product or service or a 'group' of details which can each be a simple items or groups of sub-details.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.extension,0,*,Extension,Optional Extensions Element,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.extension.package,0,1,boolean,A package billing code or bundle code used to group products and services to a particular health condition .,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.extension.tax,0,1,Money,The amount of Tax (VAT) levied on the line item.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.extension.payerShare,0,1,Money,Refer to the expected payer share amount (to be paid),,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.extension.patientShare,1,1,Money,Refer to the patient share amount,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.extension.patientInvoice,1,1,Identifier,The number of the patient invoice on which the service was billed,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.sequence,1,1,positiveInt,A number to uniquely identify item entries.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.careTeamSequence,1,*,positiveInt,CareTeam members related to this service or product.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.diagnosisSequence,0,*,positiveInt,Diagnosis applicable for this service or product.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.informationSequence,0,*,positiveInt,"Exceptions, special conditions and supporting information applicable for this service or product.",,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.productOrService,1,1,CodeableConcept,"When the value is a group code then this item collects a set of related claim details, otherwise this contains the product, service, drug or other billing code for the item.",Available,,Yes,https://ilm-hie.dha.go.ke/ocl/orgs/MOH-KENYA/ValueSet/KenyaSocialHealthAuthorityInterventions/,,,,,,,,,,,,,,,,,,
